[0.000000] (-) TimerEvent: {}
[0.000115] (-) JobUnselected: {'identifier': 'robot_bringup'}
[0.000163] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000198] (-) JobUnselected: {'identifier': 'robot_description'}
[0.000209] (-) JobUnselected: {'identifier': 'vox_nav_bringup'}
[0.000220] (-) JobUnselected: {'identifier': 'vox_nav_control'}
[0.000230] (-) JobUnselected: {'identifier': 'vox_nav_map_server'}
[0.000241] (-) JobUnselected: {'identifier': 'vox_nav_msgs'}
[0.000251] (-) JobUnselected: {'identifier': 'vox_nav_navigators'}
[0.000262] (-) JobUnselected: {'identifier': 'vox_nav_planning'}
[0.000272] (-) JobUnselected: {'identifier': 'vox_nav_utilities'}
[0.000282] (-) JobUnselected: {'identifier': 'vox_nav_waypoint_nav_clients'}
[0.000294] (cropmap_nav2) JobQueued: {'identifier': 'cropmap_nav2', 'dependencies': OrderedDict()}
[0.063699] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/cropmap_navigation.launch.py\n'}
[0.063791] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/~\n'}
[0.063839] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.intergarted_nav2_voxnav.launch.py.swp\n'}
[0.063884] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/cropmap_navigation_slam.launch.py\n'}
[0.063928] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.cropmap_vox_nav.launch.py.swo\n'}
[0.063990] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/keepout_fliter.launch.py\n'}
[0.064041] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/final_navigation.launch.py\n'}
[0.064103] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.cropmap_navigation_voxnav.launch.py.swo\n'}
[0.064201] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config\n'}
[0.064254] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav_t_params.yaml\n'}
[0.064304] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params.yaml\n'}
[0.064354] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_slam_params.yaml\n'}
[0.064403] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params_backup.yaml\n'}
[0.064452] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/keepout_fliter_params.yaml\n'}
[0.064501] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params_2D.yaml\n'}
[0.064550] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/mapper_params_online_async.yaml\n'}
[0.064599] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/flat_terrain_voxnav_params.yaml\n'}
[0.064677] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/voxnav_params.yaml\n'}
[0.064726] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps\n'}
[0.064775] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Walls.yaml\n'}
[0.064824] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map_wth_keepout.png\n'}
[0.064873] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Nav2Testing.png\n'}
[0.064922] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09\n'}
[0.064992] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09/rosbag2_2025_08_03-21_36_09_0.db3\n'}
[0.065056] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09/metadata.yaml\n'}
[0.065202] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/single_layer_map.yaml\n'}
[0.065246] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Block_map.yaml\n'}
[0.065302] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/uneven_world.pcd\n'}
[0.065343] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/my_field_map.png\n'}
[0.065381] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Nav2Testing.yaml\n'}
[0.065420] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map.yaml\n'}
[0.065461] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map.png\n'}
[0.065502] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/single_layer_map.png\n'}
[0.065542] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Block_map.png\n'}
[0.065601] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/my_field_map.yaml\n'}
[0.065642] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Walls.png\n'}
[0.065703] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map_wth_keepout.yaml\n'}
[0.065742] (cropmap_nav2) StdoutLine: {'line': b'-- Installing: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/occupancy_pcd.py\n'}
[0.065781] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/final_slam_map.yaml\n'}
[0.065819] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/final_slam_map.pgm\n'}
[0.065858] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2\n'}
