[0.000000] (-) TimerEvent: {}
[0.000491] (-) JobUnselected: {'identifier': 'robot_bringup'}
[0.000513] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000528] (-) JobUnselected: {'identifier': 'robot_description'}
[0.000541] (-) JobUnselected: {'identifier': 'vox_nav_bringup'}
[0.000553] (-) JobUnselected: {'identifier': 'vox_nav_control'}
[0.000564] (-) JobUnselected: {'identifier': 'vox_nav_map_server'}
[0.000576] (-) JobUnselected: {'identifier': 'vox_nav_msgs'}
[0.000587] (-) JobUnselected: {'identifier': 'vox_nav_navigators'}
[0.000598] (-) JobUnselected: {'identifier': 'vox_nav_planning'}
[0.000609] (-) JobUnselected: {'identifier': 'vox_nav_utilities'}
[0.000620] (-) JobUnselected: {'identifier': 'vox_nav_waypoint_nav_clients'}
[0.000634] (cropmap_nav2) JobQueued: {'identifier': 'cropmap_nav2', 'dependencies': OrderedDict()}
[0.044321] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/cropmap_navigation.launch.py\n'}
[0.044406] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/~\n'}
[0.044452] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.intergarted_nav2_voxnav.launch.py.swp\n'}
[0.044496] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/cropmap_navigation_slam.launch.py\n'}
[0.044538] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.cropmap_vox_nav.launch.py.swo\n'}
[0.044581] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/keepout_fliter.launch.py\n'}
[0.044624] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/final_navigation.launch.py\n'}
[0.044666] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/launch/.cropmap_navigation_voxnav.launch.py.swo\n'}
[0.044709] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config\n'}
[0.044914] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav_t_params.yaml\n'}
[0.044963] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params.yaml\n'}
[0.045007] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_slam_params.yaml\n'}
[0.045052] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params_backup.yaml\n'}
[0.045095] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/keepout_fliter_params.yaml\n'}
[0.045138] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/nav2_params_2D.yaml\n'}
[0.045181] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/mapper_params_online_async.yaml\n'}
[0.045223] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/flat_terrain_voxnav_params.yaml\n'}
[0.045265] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/config/voxnav_params.yaml\n'}
[0.045306] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps\n'}
[0.045348] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Walls.yaml\n'}
[0.045390] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map_wth_keepout.png\n'}
[0.045431] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Nav2Testing.png\n'}
[0.045473] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09\n'}
[0.045514] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09/rosbag2_2025_08_03-21_36_09_0.db3\n'}
[0.045556] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/rosbag2_2025_08_03-21_36_09/metadata.yaml\n'}
[0.045598] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/single_layer_map.yaml\n'}
[0.045639] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Block_map.yaml\n'}
[0.045697] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/uneven_world.pcd\n'}
[0.045766] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/my_field_map.png\n'}
[0.045860] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Nav2Testing.yaml\n'}
[0.046004] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map.yaml\n'}
[0.046055] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map.png\n'}
[0.046101] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/single_layer_map.png\n'}
[0.046145] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Block_map.png\n'}
[0.046216] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/my_field_map.yaml\n'}
[0.046260] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/Walls.png\n'}
[0.046366] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/cropmap_map_wth_keepout.yaml\n'}
[0.046410] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/final_slam_map.yaml\n'}
[0.046453] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/maps/final_slam_map.pgm\n'}
[0.046495] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2\n'}
[0.046538] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/final_navigation.rviz\n'}
[0.046580] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/carter_navigation.rviz\n'}
